Inventory Number,Description
C. 0115,Statuette of the god Anubis. Bronze. Late Period (722-332 BC).. Acquired before 1882. C. 115
C. 0256,"Statue of the goddess Sekhmet. Granodiorite. New Kingdom, 18th Dynasty, reign of Amenhotep III (1390-1353 BC). Thebes.. Drovetti collection (1824). C. 256"
C. 0271,Statuette of the goddess Bastet. Bronze. Late Period (722-332 BC).. Drovetti collection (1824). C. 271
C. 0417,Amulet depicting the god Harpocrates
C. 0515,Statuette of the goddess Satet. Bronze. Late Period (722-332 BC).. Drovetti collection (1824). C. 515
C. 0638,Statue of the god Bes. Limestone. Ptolemaic Period - Roman Period (332 BC - AD 395).. Acquired before 1882. C. 638
C. 0775,Magic stela of Horus on crocodiles. Limestone. Late Period - Ptolemaic Period (722-30 BC).. Drovetti collection (1824). C. 775
C. 0815,Statuette of the god Apis. Bronze. Late Period (722-332 BC).. Drovetti collection (1824). C. 0815
C. 1108,Amulet depicting the wedjat-eye
C. 1372,"Cult statue of Amenhotep I. Limestone. New Kingdom, 19th Dynasty (1292–1190 BC). Deir el-Medina.. Drovetti collection (1824). C. 1372"
C. 1465,"Stela of Meh, scribe of the treasury in the temple of Ramesses II in the sanctuary of Re (in Heliopolis). Limestone. New Kingdom, 19th Dynasty, second half of the reign of Ramesses II-early reign of Merenptah, ca. 1240-1210 BC. Abydos (?).. Acquired befor"
C. 1607,"Stela dedicated by Huy to Amun-Re. Limestone. New Kingdom, 19th Dynasty (1292-1190 BC). Deir el-Medina.. Drovetti collection (1824). C. 1607"
C. 1771,"Book of the Dead of Aaner, priest of Mut. Cyperus papyrus. Third Intermediate Period, 21st Dynasty (1076-944 BC). Thebes.. Drovetti collection (1824). C. 1771"
C. 1791,Book of the Dead of Iuefankh. Cyperus papyrus. Ptolemaic period (332-30 BC).. Thebes (?). Drovetti collection (1824). C. 1791
C. 2228.1,"Coffin of Tamutmutef. Wood. Third Intermediate Period, 21st-22nd Dynasty (1076-746 BC). Thebes (?).. Drovetti collection (1824). C. 2228/1"
